Question;Answer;Incorrect1;Incorrect2;Incorrect3
La curiosidad mató...; al gato.; poco vinagre y bien aceitada.; lo último que se pierde.; confirma la regla.
La ensalada...; poco vinagre y bien aceitada.; lo último que se pierde.; confirma la regla.; la madre de la ciencia.
La esperanza es...; lo último que se pierde.; confirma la regla.; la madre de la ciencia.; montañas.
La excepción...; confirma la regla.; la madre de la ciencia.; montañas.; más huevos pone que la mía.
La experiencia es...; la madre de la ciencia.; montañas.; más huevos pone que la mía.; poco dura.
La fe mueve...; montañas.; más huevos pone que la mía.; poco dura.; no excusa su cumplimiento.
La gallina de mi vecina...; más huevos pone que la mía.; poco dura.; no excusa su cumplimiento.; lo que vale.
La hermosura...; poco dura.; no excusa su cumplimiento.; lo que vale.; la prudencia.
La ignorancia de la ley...; no excusa su cumplimiento.; lo que vale.; la prudencia.; pero corta lo más grueso.
La intención es...; lo que vale.; la prudencia.; pero corta lo más grueso.; con sangre entra.
La juventud tiene la fuerza y la vejez...; la prudencia.; pero corta lo más grueso.; con sangre entra.; para mí lo ancho y para ti lo agudo.
La lengua no tiene hueso...; pero corta lo más grueso.; con sangre entra.; para mí lo ancho y para ti lo agudo.; a su compañía.
La letra...; con sangre entra.; para mí lo ancho y para ti lo agudo.; a su compañía.; la que queda por decir.
La ley del embudo...; para mí lo ancho y para ti lo agudo.; a su compañía.; la que queda por decir.; el apetito.
La manzana podrida pierde...; a su compañía.; la que queda por decir.; el apetito.; debe parecerlo.
La mejor palabra siempre es...; la que queda por decir.; el apetito.; debe parecerlo.; lo pueden todo.
La mejor salsa...; el apetito.; debe parecerlo.; lo pueden todo.; al hombre de tino.
La mujer del César además de ser honesta...; debe parecerlo.; lo pueden todo.; al hombre de tino.; las fieras.
La mujer y el oro...; lo pueden todo.; al hombre de tino.; las fieras.; calva.
La mujer y el vino sacan...; al hombre de tino.; las fieras.; calva.; y el silencio es oro.
La música amansa...; las fieras.; calva.; y el silencio es oro.; nunca torna.
La ocasión la pintan...; calva.; y el silencio es oro.; nunca torna.; la que más cacarea.
La palabra es plata...; y el silencio es oro.; nunca torna.; la que más cacarea.; todo lo alcanza.
La palabra que sale de la boca...; nunca torna.; la que más cacarea.; todo lo alcanza.; la sangre altera.
La peor gallina es...; la que más cacarea.; todo lo alcanza.; la sangre altera.; va por dentro.
La perseverancia...; todo lo alcanza.; la sangre altera.; va por dentro.; la ficción.
La primavera...; la sangre altera.; va por dentro.; la ficción.; la ira quebranta.
La procesión...; va por dentro.; la ficción.; la ira quebranta.; cuanto más lejos mejor.
La realidad supera...; la ficción.; la ira quebranta.; cuanto más lejos mejor.; la bonita la desea.
La respuesta mansa...; la ira quebranta.; cuanto más lejos mejor.; la bonita la desea.; echada.
La suegra y el doctor...; cuanto más lejos mejor.; la bonita la desea.; echada.; la fuerza.
La suerte de la fea...; la bonita la desea.; echada.; la fuerza.; que se sirve frío.
La suerte está...; echada.; la fuerza.; que se sirve frío.; amarga.
La unión hace...; la fuerza.; que se sirve frío.; amarga.; un camino de rosas.
La venganza es un plato...; que se sirve frío.; amarga.; un camino de rosas.; hace que llora y repica.
La verdad es...; amarga.; un camino de rosas.; hace que llora y repica.; engañan.
La vida no es...; un camino de rosas.; hace que llora y repica.; engañan.; cuanto más lejos mejor.
La viuda rica...; hace que llora y repica.; engañan.; cuanto más lejos mejor.; odiosas.
Las apariencias...; engañan.; cuanto más lejos mejor.; odiosas.; van despacio.
Las armas de fuego...; cuanto más lejos mejor.; odiosas.; van despacio.; y el chocolate espeso.
Las comparaciones son...; odiosas.; van despacio.; y el chocolate espeso.; vienen solas.
Las cosas de palacio...; van despacio.; y el chocolate espeso.; vienen solas.; hacen las hijas perezosas.
Las cuentas claras...; y el chocolate espeso.; vienen solas.; hacen las hijas perezosas.; vuelan.
Las desgracias nunca...; vienen solas.; hacen las hijas perezosas.; vuelan.; y lo escrito permanece.
Las madres hacendosas...; hacen las hijas perezosas.; vuelan.; y lo escrito permanece.; oyen.
Las malas noticias...; vuelan.; y lo escrito permanece.; oyen.; son buenas.
Las palabras vuelan...; y lo escrito permanece.; oyen.; son buenas.; libro perdido.
Las paredes...; oyen.; son buenas.; libro perdido.; caro.
Las prisas nunca...; son buenas.; libro perdido.; caro.; bien parece.
Libro prestado...; libro perdido.; caro.; bien parece.; poco dura.
Lo barato sale...; caro.; bien parece.; poco dura.; dos veces bueno.
Lo bien hecho...; bien parece.; poco dura.; dos veces bueno.; lo servido.
Lo bueno...; poco dura.; dos veces bueno.; lo servido.; lo valiente.
Lo bueno si breve...; dos veces bueno.; lo servido.; lo valiente.; rara vez pagado.
Lo comido por...; lo servido.; lo valiente.; rara vez pagado.; ni agradecido ni pagado.
Lo cortés no quita...; lo valiente.; rara vez pagado.; ni agradecido ni pagado.; deuda.
Lo fiado...; rara vez pagado.; ni agradecido ni pagado.; deuda.; a otros sana.
Lo olvidado...; ni agradecido ni pagado.; deuda.; a otros sana.; bien acaba.
Lo prometido es...; deuda.; a otros sana.; bien acaba.; a la mañana parece.
Lo que a unos mata...; a otros sana.; bien acaba.; a la mañana parece.; la vida te lo enseñará.
Lo que bien empieza...; bien acaba.; a la mañana parece.; la vida te lo enseñará.; no incomoda.
Lo que de noche se hace...; a la mañana parece.; la vida te lo enseñará.; no incomoda.; mucho cuesta.
Lo que en los libros no está...; la vida te lo enseñará.; no incomoda.; mucho cuesta.; déjalo cocer.
Lo que es moda...; no incomoda.; mucho cuesta.; déjalo cocer.; engorda.
Lo que mucho vale...; mucho cuesta.; déjalo cocer.; engorda.; nunca se acaba.
Lo que no has de comer...; déjalo cocer.; engorda.; nunca se acaba.; aparece por los rincones.
Lo que no mata...; engorda.; nunca se acaba.; aparece por los rincones.; va en suspiros.
Lo que no se comienza...; nunca se acaba.; aparece por los rincones.; va en suspiros.; a mí poco me dura.
Lo que no se llevan los ladrones...; aparece por los rincones.; va en suspiros.; a mí poco me dura.; poco se aprecia.
Lo que no va en lágrimas...; va en suspiros.; a mí poco me dura.; poco se aprecia.; siempre dura.
Lo que otro suda...; a mí poco me dura.; poco se aprecia.; siempre dura.; sonará.
Lo que poco cuesta...; poco se aprecia.; siempre dura.; sonará.; son mis amigos.
Lo que se aprende en la cuna...; siempre dura.; sonará.; son mis amigos.; en balde.
Lo que sea...; sonará.; son mis amigos.; en balde.; ver el bosque.
Los amigos de mis amigos...; son mis amigos.; en balde.; ver el bosque.; malos consejeros.
Los años no pasan...; en balde.; ver el bosque.; malos consejeros.; son menos.
Los árboles no dejan...; ver el bosque.; malos consejeros.; son menos.; pero cuando se van.
Los celos son...; malos consejeros.; son menos.; pero cuando se van.; pasarlos pronto.
Los duelos con pan...; son menos.; pero cuando se van.; pasarlos pronto.; las verdades.
Los huéspedes mucho gusto dan...; pero cuando se van.; pasarlos pronto.; las verdades.; desde la barrera.
Los malos tragos hay que...; pasarlos pronto.; las verdades.; desde la barrera.; se lavan en casa.
Los niños y los locos dicen...; las verdades.; desde la barrera.; se lavan en casa.; consuelo de tontos.
Los toros se ven mejor...; desde la barrera.; se lavan en casa.; consuelo de tontos.; otro día.
Los trapos sucios...; se lavan en casa.; consuelo de tontos.; otro día.; ¿qué esperáis?
Mal de muchos...; consuelo de tontos.; otro día.; ¿qué esperáis?; corazón caliente.
Mañana será...; otro día.; ¿qué esperáis?; corazón caliente.; no tiene reposo.
Manitas que no dais...; ¿qué esperáis?; corazón caliente.; no tiene reposo.; sacan a mayo florido y hermoso.
Manos frías...; corazón caliente.; no tiene reposo.; sacan a mayo florido y hermoso.; que el que puede.
Marido celoso...; no tiene reposo.; sacan a mayo florido y hermoso.; que el que puede.; que cien letrados.
Marzo ventoso y abril lluvioso...; sacan a mayo florido y hermoso.; que el que puede.; que cien letrados.; por viejo que por diablo.
Más hace el que quiere...; que el que puede.; que cien letrados.; por viejo que por diablo.; que ser gracioso.
Más discurre un hambriento...; que cien letrados.; por viejo que por diablo.; que ser gracioso.; que mal acompañado.
Más sabe el diablo...; por viejo que por diablo.; que ser gracioso.; que mal acompañado.; que en botica.
Más vale caer en gracia...; que ser gracioso.; que mal acompañado.; que en botica.; que rondar un año.
Más vale estar solo...; que mal acompañado.; que en botica.; que rondar un año.; que lo bueno por conocer.
Más vale gastar en pan...; que en botica.; que rondar un año.; que lo bueno por conocer.; que fuerza.
Más vale llegar a tiempo...; que rondar un año.; que lo bueno por conocer.; que fuerza.; que ciento volando.
Más vale malo conocido...; que lo bueno por conocer.; que fuerza.; que ciento volando.; que curar.
Más vale maña...; que fuerza.; que ciento volando.; que curar.; que borrico.
Más vale pájaro en mano...; que ciento volando.; que curar.; que borrico.; que nunca.
Más vale prevenir...; que curar.; que borrico.; que nunca.; que desear.
Más vale ser arriero...; que borrico.; que nunca.; que desear.; que ciego.
Más vale tarde...; que nunca.; que desear.; que ciego.; que un buen pleito.
Más vale tener...; que desear.; que ciego.; que un buen pleito.; que dos.
Más vale tuerto...; que ciego.; que un buen pleito.; que dos.; que recibir.
Más vale un mal arreglo...; que un buen pleito.; que dos.; que recibir.; y pocas nueces.
Más ven cuatro ojos...; que dos.; que recibir.; y pocas nueces.; y pocos los escogidos.
Mejor dar...; que recibir.; y pocas nueces.; y pocos los escogidos.; se acabó la rabia.
Mucho ruido...; y pocas nueces.; y pocos los escogidos.; se acabó la rabia.; lo que no tiene.
Muchos son los llamados...; y pocos los escogidos.; se acabó la rabia.; lo que no tiene.; en su tierra.
Muerto el perro...; se acabó la rabia.; lo que no tiene.; en su tierra.; en cabeza ajena.
Nadie da...; lo que no tiene.; en su tierra.; en cabeza ajena.; hasta que truena.
Nadie es profeta...; en su tierra.; en cabeza ajena.; hasta que truena.; donde no le llamen.
Nadie escarmienta...; en cabeza ajena.; hasta que truena.; donde no le llamen.; a su tejado.
Nadie se acuerda de Santa Bárbara...; hasta que truena.; donde no le llamen.; a su tejado.; ni sirvas a quien sirvió.
Nadie se meta...; donde no le llamen.; a su tejado.; ni sirvas a quien sirvió.; ni están todos los que son.
Nadie tira piedras...; a su tejado.; ni sirvas a quien sirvió.; ni están todos los que son.; tan calvo.
Ni pidas a quien pidió...; ni sirvas a quien sirvió.; ni están todos los que son.; tan calvo.; ve su joroba.
Ni son todos los que están...; ni están todos los que son.; tan calvo.; ve su joroba.; en cabeza ajena.
Ni tanto ni...; tan calvo.; ve su joroba.; en cabeza ajena.; sino parecerlo.
Ningún jorobado...; ve su joroba.; en cabeza ajena.; sino parecerlo.; en un gallinero.
Ninguno escarmienta...; en cabeza ajena.; sino parecerlo.; en un gallinero.; hasta el fin de la victoria.
No basta ser bueno...; sino parecerlo.; en un gallinero.; hasta el fin de la victoria.; hasta que esté madura.
No cantan dos gallos...; en un gallinero.; hasta el fin de la victoria.; hasta que esté madura.; no es tiempo perdido.
No cantes gloria...; hasta el fin de la victoria.; hasta que esté madura.; no es tiempo perdido.; con quien paces.
No cojas la pera...; hasta que esté madura.; no es tiempo perdido.; con quien paces.; lo que puedas hacer hoy.
No comer por haber comido...; no es tiempo perdido.; con quien paces.; lo que puedas hacer hoy.; a los cerdos.
No con quien naces sino...; con quien paces.; lo que puedas hacer hoy.; a los cerdos.; que parecer.
No dejes para mañana...; lo que puedas hacer hoy.; a los cerdos.; que parecer.; sino el que menos ensucia.
No echéis margaritas...; a los cerdos.; que parecer.; sino el que menos ensucia.; el que menos necesita.
No es lo mismo ser...; que parecer.; sino el que menos ensucia.; el que menos necesita.; todo lo que reluce.
No es más limpio el que más limpia...; sino el que menos ensucia.; el que menos necesita.; todo lo que reluce.; como lo pintan.
No es más rico quien más tiene sino...; el que menos necesita.; todo lo que reluce.; como lo pintan.; sin din.
No es oro...; todo lo que reluce.; como lo pintan.; sin din.; pequeño.
No es tan fiero el león...; como lo pintan.; sin din.; pequeño.; sin salvado.
No hay don...; sin din.; pequeño.; sin salvado.; cien años dure.
No hay enemigo...; pequeño.; sin salvado.; cien años dure.; por bien no venga.
No hay harina...; sin salvado.; cien años dure.; por bien no venga.; no hacer aprecio.
No hay mal que...; cien años dure.; por bien no venga.; no hacer aprecio.; el que no quiere ver.
No hay mal que...; por bien no venga.; no hacer aprecio.; el que no quiere ver.; el que no quiere oír.
No hay mayor desprecio que...; no hacer aprecio.; el que no quiere ver.; el que no quiere oír.; ni verano sin calores.
No hay peor ciego que...; el que no quiere ver.; el que no quiere oír.; ni verano sin calores.; por el tejado.
No hay peor sordo que...; el que no quiere oír.; ni verano sin calores.; por el tejado.; de las apariencias.
No hay primavera sin flores...; ni verano sin calores.; por el tejado.; de las apariencias.; antes de haberlo cazado.
No hay que empezar la casa...; por el tejado.; de las apariencias.; antes de haberlo cazado.; sin excepción.
No hay que fiarse...; de las apariencias.; antes de haberlo cazado.; sin excepción.; sin espinas.
No hay que vender la piel del oso...; antes de haberlo cazado.; sin excepción.; sin espinas.; que no se tenga por listo.
No hay regla...; sin excepción.; sin espinas.; que no se tenga por listo.; que te da de comer.
No hay rosa...; sin espinas.; que no se tenga por listo.; que te da de comer.; quien puede.
No hay tonto...; que no se tenga por listo.; que te da de comer.; quien puede.; amanece más temprano.
No muerdas la mano...; que te da de comer.; quien puede.; amanece más temprano.; pues toma tres tazas.
No ofende quien quiere sino...; quien puede.; amanece más temprano.; pues toma tres tazas.; hasta que lo pierdes.
No por mucho madrugar...; amanece más temprano.; pues toma tres tazas.; hasta que lo pierdes.; de cuando fue sacristán.
No quieres caldo...; pues toma tres tazas.; hasta que lo pierdes.; de cuando fue sacristán.; en una hora.
No sabes lo que tienes...; hasta que lo pierdes.; de cuando fue sacristán.; en una hora.; para la boca del asno.
No se acuerda el cura...; de cuando fue sacristán.; en una hora.; para la boca del asno.; y repicando.
No se ganó Zamora...; en una hora.; para la boca del asno.; y repicando.; sin romper los huevos.
No se hizo la miel...; para la boca del asno.; y repicando.; sin romper los huevos.; vive el hombre.
No se puede estar en misa...; y repicando.; sin romper los huevos.; vive el hombre.; si no has abierto otra.
No se puede hacer tortilla...; sin romper los huevos.; vive el hombre.; si no has abierto otra.; que el tuyo viene de camino.
No sólo de pan...; vive el hombre.; si no has abierto otra.; que el tuyo viene de camino.; sobre tu tejado.
No te cierres una puerta...; si no has abierto otra.; que el tuyo viene de camino.; sobre tu tejado.; orégano.
No te rías del mal de vecino...; que el tuyo viene de camino.; sobre tu tejado.; orégano.; antes de haberlo cazado.
No tires piedras...; sobre tu tejado.; orégano.; antes de haberlo cazado.; en un pozo.
No todo el monte es...; orégano.; antes de haberlo cazado.; en un pozo.; de este agua no beberé.
No vendas la piel de oso...; antes de haberlo cazado.; en un pozo.; de este agua no beberé.; si la dicha es buena.
Nuestro gozo...; en un pozo.; de este agua no beberé.; si la dicha es buena.; para un descosido.
Nunca digas...; de este agua no beberé.; si la dicha es buena.; para un descosido.; a gusto de todos.
Nunca es tarde...; si la dicha es buena.; para un descosido.; a gusto de todos.; fueron buenas.
Nunca falta un roto...; para un descosido.; a gusto de todos.; fueron buenas.; que no buenas razones.
Nunca llueve...; a gusto de todos.; fueron buenas.; que no buenas razones.; diente por diente.
Nunca segundas partes...; fueron buenas.; que no buenas razones.; diente por diente.; corazón que no siente.
Obras son amores...; que no buenas razones.; diente por diente.; corazón que no siente.; que bueno me hará.
Ojo por ojo...; diente por diente.; corazón que no siente.; que bueno me hará.; bocado que pierde.
Ojos que no ven...; corazón que no siente.; que bueno me hará.; bocado que pierde.; no duelen.
Otro vendrá...; que bueno me hará.; bocado que pierde.; no duelen.; comida de tontos.
Oveja que bala...; bocado que pierde.; no duelen.; comida de tontos.; y hambre para mañana.
Palos con gusto...; no duelen.; comida de tontos.; y hambre para mañana.; alforjas.
Pan con pan...; comida de tontos.; y hambre para mañana.; alforjas.; un botón.
Pan para hoy...; y hambre para mañana.; alforjas.; un botón.; se va lejos.
Para ese viaje no se necesitan...; alforjas.; un botón.; se va lejos.; la mar.
Para muestra...; un botón.; se va lejos.; la mar.; poco mordedor.
Paso a paso...; se va lejos.; la mar.; poco mordedor.; no quita el sueño.
Pelillos a...; la mar.; poco mordedor.; no quita el sueño.; que todos son de su condición.
Perro ladrador...; poco mordedor.; no quita el sueño.; que todos son de su condición.; y acertarás.
Pesar ajeno...; no quita el sueño.; que todos son de su condición.; y acertarás.; y los ganes.
Piensa el ladrón...; que todos son de su condición.; y acertarás.; y los ganes.; se llega antes.
Piensa mal...; y acertarás.; y los ganes.; se llega antes.; y mal avenidos.
Pleitos tengas...; y los ganes.; se llega antes.; y mal avenidos.; don dinero.
Poco a poco...; se llega antes.; y mal avenidos.; don dinero.; baila el perro.
Pocos...; y mal avenidos.; don dinero.; baila el perro.; el pájaro.
Poderoso caballero es...; don dinero.; baila el perro.; el pájaro.; el ovillo.
Por dinero...; baila el perro.; el pájaro.; el ovillo.; te quiero Andrés.
Por el canto se conoce...; el pájaro.; el ovillo.; te quiero Andrés.; el pez.
Por el hilo se saca...; el ovillo.; te quiero Andrés.; el pez.; la cigüeña verás.
Por el interés...; te quiero Andrés.; el pez.; la cigüeña verás.; los conoceréis.
Por la boca muere...; el pez.; la cigüeña verás.; los conoceréis.; una herradura.
Por San Blas...; la cigüeña verás.; los conoceréis.; una herradura.; y por otro me sale.
Por sus frutos...; los conoceréis.; una herradura.; y por otro me sale.; mataperros me llamaron.
Por un clavo se pierde...; una herradura.; y por otro me sale.; mataperros me llamaron.; a Roma.
Por un oído me entra...; y por otro me sale.; mataperros me llamaron.; a Roma.; que la devoción.
Por un perro que maté...; mataperros me llamaron.; a Roma.; que la devoción.; su vela.
Preguntando se va...; a Roma.; que la devoción.; su vela.; poder.
Primero es la obligación...; que la devoción.; su vela.; poder.; buena sombra le cobija.
Que cada palo aguante...; su vela.; poder.; buena sombra le cobija.; a hierro muere.
Querer es...; poder.; buena sombra le cobija.; a hierro muere.; bien desata.
Quien a buen árbol se arrima...; buena sombra le cobija.; a hierro muere.; bien desata.; bien recoge.
Quien a hierro mata...; a hierro muere.; bien desata.; bien recoge.; te hará llorar.
Quien bien ata...; bien desata.; bien recoge.; te hará llorar.; halla.
Quien bien siembra...; bien recoge.; te hará llorar.; halla.; otorga.
Quien bien te quiere...; te hará llorar.; halla.; otorga.; se quema.
Quien busca...; halla.; otorga.; se quema.; a aullar se enseña.
Quien calla...; otorga.; se quema.; a aullar se enseña.; mojado amanece.
Quien con fuego juega...; se quema.; a aullar se enseña.; mojado amanece.; pierde pan y pierde perro.
Quien con lobos anda...; a aullar se enseña.; mojado amanece.; pierde pan y pierde perro.; da dos veces
Quien con niños se acuesta...; mojado amanece.; pierde pan y pierde perro.; da dos veces; de viejo duerme en la paja.
Quien da pan a perro ajeno...; pierde pan y pierde perro.; da dos veces; de viejo duerme en la paja.; no tiene cura.
Quien da primero...; da dos veces; de viejo duerme en la paja.; no tiene cura.; que tire la primera piedra.
Quien de joven no trabaja...; de viejo duerme en la paja.; no tiene cura.; que tire la primera piedra.; halla.
Quien enferma de locura...; no tiene cura.; que tire la primera piedra.; halla.; no está obligado a más.
Quien esté libre de culpa...; que tire la primera piedra.; halla.; no está obligado a más.; hizo la trampa.
Quien guarda...; halla.; no está obligado a más.; hizo la trampa.; ni oye misa ni come carne.
Quien hace lo que puede...; no está obligado a más.; hizo la trampa.; ni oye misa ni come carne.; mal acaba.
Quien hizo la ley...; hizo la trampa.; ni oye misa ni come carne.; mal acaba.; más pierde.
Quien llega tarde...; ni oye misa ni come carne.; mal acaba.; más pierde.; más quiere.
Quien mal anda...; mal acaba.; más pierde.; más quiere.; poco aprieta.
Quien más pone...; más pierde.; más quiere.; poco aprieta.; poco aprende.
Quien más tiene...; más quiere.; poco aprieta.; poco aprende.; muere cochino.
Quien mucho abarca...; poco aprieta.; poco aprende.; muere cochino.; no cosecha.
Quien mucho duerme...; poco aprende.; muere cochino.; no cosecha.; no pasa la mar.
Quien nace lechón...; muere cochino.; no cosecha.; no pasa la mar.; no recoge.
Quien no barbecha...; no cosecha.; no pasa la mar.; no recoge.; que te compre.
Quien no se arriesga...; no pasa la mar.; no recoge.; que te compre.; que tenga pies.
Quien no siembra...; no recoge.; que te compre.; que tenga pies.; no se bautiza.
Quien no te conoce...; que te compre.; que tenga pies.; no se bautiza.; descansa.
Quien no tenga cabeza...; que tenga pies.; no se bautiza.; descansa.; manda.
Quien no tiene padrino...; no se bautiza.; descansa.; manda.; se equivoca.
Quien paga...; descansa.; manda.; se equivoca.; pierde el sermón.
Quien paga...; manda.; se equivoca.; pierde el sermón.; tiene cien años de perdón.
Quien tiene boca...; se equivoca.; pierde el sermón.; tiene cien años de perdón.; ajos come.
Quien predica en el desierto...; pierde el sermón.; tiene cien años de perdón.; ajos come.; recoge tempestades.
Quien roba a un ladrón...; tiene cien años de perdón.; ajos come.; recoge tempestades.; tiene un tesoro.
Quien se pica...; ajos come.; recoge tempestades.; tiene un tesoro.; todo lo pierde.
Quien siembra vientos...; recoge tempestades.; tiene un tesoro.; todo lo pierde.; de sabios.
Quien tiene un amigo...; tiene un tesoro.; todo lo pierde.; de sabios.; morir.
Quien todo lo quiere...; todo lo pierde.; de sabios.; morir.; oveja muerta.
Rectificar es...; de sabios.; morir.; oveja muerta.; que la enfermedad.
Renovarse o...; morir.; oveja muerta.; que la enfermedad.; y entrar en Guatepeor.
Reunión de pastores...; oveja muerta.; que la enfermedad.; y entrar en Guatepeor.; lo que se da no se quita.
Resultó peor el remedio...; que la enfermedad.; y entrar en Guatepeor.; lo que se da no se quita.; no pica.
Salir de Guatemala...; y entrar en Guatepeor.; lo que se da no se quita.; no pica.; pero no el pecador.
Santa Rita Rita...; lo que se da no se quita.; no pica.; pero no el pecador.; pierdes las amistades.
Sarna con gusto...; no pica.; pero no el pecador.; pierdes las amistades.; pueden ser amigos perro y gato.
Se dice el pecado...; pero no el pecador.; pierdes las amistades.; pueden ser amigos perro y gato.; ¡cuántos tiñosos habría!.
Si dices las verdades...; pierdes las amistades.; pueden ser amigos perro y gato.; ¡cuántos tiñosos habría!.; Mahoma va a la montaña.
Si hay trato...; pueden ser amigos perro y gato.; ¡cuántos tiñosos habría!.; Mahoma va a la montaña.; únete a él.
Si la envidia fuera tiña...; ¡cuántos tiñosos habría!.; Mahoma va a la montaña.; únete a él.; taza y media.
Si la montaña no va a Mahoma...; Mahoma va a la montaña.; únete a él.; taza y media.; poco vales.
Si no puedes con tu enemigo...; únete a él.; taza y media.; poco vales.; ruega a Dios que sea bajo.
Si no quieres una taza...; taza y media.; poco vales.; ruega a Dios que sea bajo.; quien tiene por qué callar.
Si no te envidia nadie...; poco vales.; ruega a Dios que sea bajo.; quien tiene por qué callar.; nada escrito.
Si te mandare tu mujer arrojarte de un tajo...; ruega a Dios que sea bajo.; quien tiene por qué callar.; nada escrito.; tal criado.
Siempre sale a hablar...; quien tiene por qué callar.; nada escrito.; tal criado.; tanto vales.
Sobre gustos no hay...; nada escrito.; tal criado.; tanto vales.; que al final se rompe.
Tal amo...; tal criado.; tanto vales.; que al final se rompe.; esconder la mano.
Tanto tienes...; tanto vales.; que al final se rompe.; esconder la mano.; la hermosura.
Tanto va el cántaro a la fuente...; que al final se rompe.; esconder la mano.; la hermosura.; menos la muerte.
Tirar la piedra y...; esconder la mano.; la hermosura.; menos la muerte.; apaleado.
Todo se pega menos...; la hermosura.; menos la muerte.; apaleado.; corazón sin alegría.
Todo tiene remedio...; menos la muerte.; apaleado.; corazón sin alegría.; otro clavo.
Tras cornudo...; apaleado.; corazón sin alegría.; otro clavo.; pero ayuda al compañero.
Tripa vacía...; corazón sin alegría.; otro clavo.; pero ayuda al compañero.; es difícil de encontrar.
Un clavo saca...; otro clavo.; pero ayuda al compañero.; es difícil de encontrar.; dar trigo.
Un grano no hace granero...; pero ayuda al compañero.; es difícil de encontrar.; dar trigo.; mil palabras.
Una aguja en un pajar...; es difícil de encontrar.; dar trigo.; mil palabras.; y ambas la cara.
Una cosa es predicar y otra...; dar trigo.; mil palabras.; y ambas la cara.; te arrepentirás.
Una imagen vale más que...; mil palabras.; y ambas la cara.; te arrepentirás.; y otros lo siegan.
Una mano lava a la otra...; y ambas la cara.; te arrepentirás.; y otros lo siegan.; estrellados.
Una vez te casarás y mil...; te arrepentirás.; y otros lo siegan.; estrellados.; la casa sin barrer.
Unos lo siembran...; y otros lo siegan.; estrellados.; la casa sin barrer.; tan poco.
Unos nacen con estrella y otros...; estrellados.; la casa sin barrer.; tan poco.; y otros cardan la lana.
Unos por otros...; la casa sin barrer.; tan poco.; y otros cardan la lana.; maestro.
Unos tanto y otros...; tan poco.; y otros cardan la lana.; maestro.; y no vemos la viga en el nuestro.
Unos tienen la fama...; y otros cardan la lana.; maestro.; y no vemos la viga en el nuestro.; que tengo prisa.
Uso hace...; maestro.; y no vemos la viga en el nuestro.; que tengo prisa.; a tus zapatos.
Vemos la paja en el ojo ajeno...; y no vemos la viga en el nuestro.; que tengo prisa.; a tus zapatos.; nunca bien henchido.
Vísteme despacio...; que tengo prisa.; a tus zapatos.; nunca bien henchido.; corazón contento.
Zapatero...; a tus zapatos.; nunca bien henchido.; corazón contento.; pocas palabras bastan.
Zurrón de mendigo...; nunca bien henchido.; corazón contento.; pocas palabras bastan.; no hay pan duro.